"Não vai mesmo no Stam?","Acho que vou viajar ao meio dia"
"Acho que vou viajar ao meio dia","Hmmm {br} Que pena {br} Se decidir aparecer por lá {br} Só dar um toque {br} Arrumo um chopinho {br} Hahaha"
"Hmmm {br} Que pena {br} Se decidir aparecer por lá {br} Só dar um toque {br} Arrumo um chopinho {br} Hahaha","Acho meio difícil,mas dou sim {br} Que hrs começa ?"
"Acho meio difícil,mas dou sim {br} Que hrs começa ?","Começa às 9:00"
"Começa às 9:00","Dá manhã ?"
"Dá manhã ?","Uhumm"
"Uhumm","Humm {br} Tendi"
"Humm {br} Tendi","Tenho que chegar às 07:30 {br} https://media1.giphy.com/media/13W5D2gxaOTWfe/giphy.gif?width=500&height=498 {br} Mandei o Gif errado {br} Kakakakaka"
"Tenho que chegar às 07:30 {br} https://media1.giphy.com/media/13W5D2gxaOTWfe/giphy.gif?width=500&height=498 {br} Mandei o Gif errado {br} Kakakakaka","Oxiii kakakakaakakak"
"Oxiii kakakakaakakak","Nao quer me passar seu número? {br} Fica melhor conversar pelo whats"
"Olá {br} Tudo bom?","Oie {br} Td e aí??"
"Oie {br} Td e aí??","Tudo ótimo {br} É de onde?"
"Tudo ótimo {br} É de onde?","Tô visitando meus pais agr, em laurentino, mas moro em floripa :) e tu?"
"Olá {br} Tudo bom?","Oii {br} Tudo {br} E ai?"
"Oii {br} Tudo {br} E ai?","Tudo certo {br} É de onde?"
"Tudo certo {br} É de onde?","Ituporanga {br} E você?"
"Ituporanga {br} E você?","Aqui pertinho {br} Rio do Sul {br} Não é a mesma cidade, mas ainda dá pra nós encontrarmos, qualquer coisa"
"Aqui pertinho {br} Rio do Sul {br} Não é a mesma cidade, mas ainda dá pra nós encontrarmos, qualquer coisa","Siim sim"
"Oii {br} https://media1.giphy.com/media/13W5D2gxaOTWfe/giphy.gif?width=500&height=498 {br} Onde você tá?","Oieeeee {br} Não entro muito aqui {br} Ahahha"
"Oieeeee {br} Não entro muito aqui {br} Ahahha","Você é de Rio do Sul? Rs"
"Você é de Rio do Sul? Rs","Ituporanga e vc"
"Ituporanga e vc","Sou de Rio do Sul {br} Rs {br} Seria muito legal se você morasse aqui"
"Sou de Rio do Sul {br} Rs {br} Seria muito legal se você morasse aqui","Aaah {br} É do lado hahah"
"Aaah {br} É do lado hahah","Então... 
Um amigo pegou meu celular é respondeu a última mensagem hahaha {br} O problema é que ele esqueceu que me mudei para Blumenau {br} Hahaha"
"Então... 
Um amigo pegou meu celular é respondeu a última mensagem hahaha {br} O problema é que ele esqueceu que me mudei para Blumenau {br} Hahaha","Kkkkkkk {br} Nossaaaaaaa {br} Blumenau não né {br} 😂😂 {br} Naoo posso me mudar diz pra ele {br} 😋😂😂"
"Kkkkkkk {br} Nossaaaaaaa {br} Blumenau não né {br} 😂😂 {br} Naoo posso me mudar diz pra ele {br} 😋😂😂","Hahaha {br} Mas pode visitar {br} 😂😂😂"
"Hahaha {br} Mas pode visitar {br} 😂😂😂","Idem pra ti {br} 😂😌😌"
"Idem pra ti {br} 😂😌😌","Para Rio do Sul vou de vez em quando {br} Visitar meus pais"
"Para Rio do Sul vou de vez em quando {br} Visitar meus pais","Então ó"
"Então ó","Hahaha {br} Oq você gosta de fazer {br} ???"
"Hahaha {br} Oq você gosta de fazer {br} ???","De tudo um poco haha {br} E voce ?:"
"De tudo um poco haha {br} E voce ?:","Também haha {br} Principalmente sair com os amigos"
"Também haha {br} Principalmente sair com os amigos","Heheh {br} Tbm gosto {br} Só quando tá frio fico em casa pra assitir filme😂"
"Heheh {br} Tbm gosto {br} Só quando tá frio fico em casa pra assitir filme😂","Isso é muuuito bom também"
"Isso é muuuito bom também","Com toda certeza😏😂"
"Com toda certeza😏😂","Não quer me passar seu número? {br} Acho melhor conversar pelo whats"
"Olá","Ooi"
"Oii","Olá"
"Olá","Tudo bom ?"
"Tudo bom ?","Tudo ótimo {br} E com você?"
"Tudo ótimo {br} E com você?","Tô bem , que bom"
"Tô bem , que bom","Uhumm {br} Faz oq aí em Pomerode? Estuda? Trabalha?"
"Uhumm {br} Faz oq aí em Pomerode? Estuda? Trabalha?","Estudo {br} E você?"
"Estudo {br} E você?","Trabalho e faço faculdade {br} Aqui em Blumenau"
"Trabalho e faço faculdade {br} Aqui em Blumenau","Hmmmmmm legal"
"Hmmmmmm legal","Mudei a pouco tempo {br} Faz uns 6 meses"
"Mudei a pouco tempo {br} Faz uns 6 meses","Hmmmmmm bom também {br} Faculdade de que {br} ?"
"Hmmmmmm bom também {br} Faculdade de que {br} ?","Faço Ciências da Computação"
"Faço Ciências da Computação","Hmmmmm"
"Hmmmmm","E vc estuda oq?"
"E vc estuda oq?","Terceirao"
"Terceirao","Hmmm {br} Vai fazer faculdade?"
"Hmmm {br} Vai fazer faculdade?","Arquitetura"
"Arquitetura","Legal {br} Já sabe aonde?"
"Legal {br} Já sabe aonde?","Ainda não"
"Ainda não","Hmm {br} E como está o terceirão? {br} Muito corrido?"
"Olá {br} Tudo bom?","Olá {br} Tudo e ctg?"
"Olá {br} Tudo e ctg?","Tudo tranquilo {br} É de Blumenau?"
"Olá {br} Tudo bom {br} ??","Oláá {br} Tudo bem, e aí?"
"Oláá {br} Tudo bem, e aí?","Tudo ótimo {br} É de Blumenau?"
"Tudo ótimo {br} É de Blumenau?","Nao"
"Nao","Hmm mas é aqui de perto?"
"Hmm mas é aqui de perto?","Sim, Pomerode {br} Do lado"
"Sim, Pomerode {br} Do lado","Legal {br} Mudei aqui para Blumenau faz uns 5 ou 6 meses"
"Legal {br} Mudei aqui para Blumenau faz uns 5 ou 6 meses","Aah que massa {br} Nasci aqui ja ahaha"
"Aah que massa {br} Nasci aqui ja ahaha","Isso explica o ""apaixonada pela cultura alemã"" {br} Haha"
"Isso explica o ""apaixonada pela cultura alemã"" {br} Haha","Com toda certeza hh {br} Ahah {br} Apaixonadissima"
"Com toda certeza hh {br} Ahah {br} Apaixonadissima","Tbm acho muito legal hahahah {br} Principalmente da Oktoberfest {br} Hahaha"
"Tbm acho muito legal hahahah {br} Principalmente da Oktoberfest {br} Hahaha","Ahaaha {br} Na Oktoberfest nao vou muito {br} Vou mais na festa pomerana, que é daqui mesmo"
"Ahaaha {br} Na Oktoberfest nao vou muito {br} Vou mais na festa pomerana, que é daqui mesmo","Hmmm {br} Quando é?"
"Hmmm {br} Quando é?","Em janeiro"
"Em janeiro","Ahh {br} Já passou​ então hahaha {br} Que pena"
"Ahh {br} Já passou​ então hahaha {br} Que pena","Ja simm hahha {br} Mas ano que vem tem mais 🍻🍻"
"Ja simm hahha {br} Mas ano que vem tem mais 🍻🍻","Kakaka {br} Já estou confirmando presença"
"Kakaka {br} Já estou confirmando presença","Isso ai {br} Fechowww"
"Isso ai {br} Fechowww","E fica o convite para vir em outubro para cá"
"E fica o convite para vir em outubro para cá","Pode deixar {br} Acho que vou sim"
"Pode deixar {br} Acho que vou sim","Faz oq aí em Pomerode? {br} Estuda? Trabalha?"
"Faz oq aí em Pomerode? {br} Estuda? Trabalha?","Eu estudo {br} Por enquanto"
"Eu estudo {br} Por enquanto","Hmmm {br} Esta no terceirão?"
"Hmmm {br} Esta no terceirão?","Nao, segundao ahah"
"Nao, segundao ahah","Hmmm {br} Fase boa hahaha"
"Hmmm {br} Fase boa hahaha","Simm haha"
"Simm haha","Pensa em fazer faculdade?"
"Pensa em fazer faculdade?","Penso {br} Sim"
"Penso {br} Sim","Já decidiu oq quer fazer?"
"Já decidiu oq quer fazer?","Estou entre biomedicina e ciências biológicas... {br} E você?"
"Estou entre biomedicina e ciências biológicas... {br} E você?","Estou cursando ciências da computação"
"Estou cursando ciências da computação","Que massa {br} Dificil?"
"Que massa {br} Dificil?","Isso facilita {br} E já trabalho na área {br} Eu já** {br} Mas as matérias de cálculo {br} 😫😫😫"
"Isso facilita {br} E já trabalho na área {br} Eu já** {br} Mas as matérias de cálculo {br} 😫😫😫","Ixxxx {br} Vi que tem bastante matemática e física né? {br} Eu gosto de exatas, mas acho que nao pra isso kkk"
"Ixxxx {br} Vi que tem bastante matemática e física né? {br} Eu gosto de exatas, mas acho que nao pra isso kkk","Sim {br} Mas grande parte é lógica {br} Fica bem tranquilo depois que pega o jeito {br} Pensa em fazer aqui na Furb?"
"Sim {br} Mas grande parte é lógica {br} Fica bem tranquilo depois que pega o jeito {br} Pensa em fazer aqui na Furb?","Aaah que bom então {br} Sim, acho que sim"
"Aaah que bom então {br} Sim, acho que sim","Legal {br} Faculdade também é uma fase muito boa hahaha {br} Pelo menos para mim está sendo a melhor"
"Legal {br} Faculdade também é uma fase muito boa hahaha {br} Pelo menos para mim está sendo a melhor","Aah sim, imagino que seja bom sim {br} Se faz algo que se gosta claro"
"Aah sim, imagino que seja bom sim {br} Se faz algo que se gosta claro","Também tem isso {br} O fato de morar sozinho também está ajudando a melhorar {br} É bom demais {br} Haha"
"Também tem isso {br} O fato de morar sozinho também está ajudando a melhorar {br} É bom demais {br} Haha","Voce mora sozinho?"
"Voce mora sozinho?","Uhumm {br} Divido apartamento com um amigo na vdd"
"Uhumm {br} Divido apartamento com um amigo na vdd","Meu que massa {br} Sua família mora aí em bnu também?"
"Meu que massa {br} Sua família mora aí em bnu também?","Não {br} São de Rio do Sul"
"Não {br} São de Rio do Sul","Ahhh entendo entendo {br} Pertinho então"
"Ahhh entendo entendo {br} Pertinho então","Uhumm {br} Vim para Blumenau por causa de uma proposta de emprego"
"Uhumm {br} Vim para Blumenau por causa de uma proposta de emprego","Aah sim {br} E por causa da faculdade tambem facilita ne"
"Aah sim {br} E por causa da faculdade tambem facilita ne","Sim sim {br} Eu fazia faculdade lá tbm {br} Mas pedi transferência para cá"
"Sim sim {br} Eu fazia faculdade lá tbm {br} Mas pedi transferência para cá","Aaah que massa {br} Legal"
"Aaah que massa {br} Legal","E além de estudar {br} Oq vc gosta de fazer? {br} Hahaha"
"E além de estudar {br} Oq vc gosta de fazer? {br} Hahaha","Gosto muito de viajar, passear, sair com amigos ahaha {br} E voce?"
"Gosto muito de viajar, passear, sair com amigos ahaha {br} E voce?","Sair com os amigos é sempre bom {br} Viajar é ótimo {br} Mas ficar em casa tbm me agrada {br} Haha"
"Sair com os amigos é sempre bom {br} Viajar é ótimo {br} Mas ficar em casa tbm me agrada {br} Haha","Simmmm {br} É bom também {br} Mas nao gosto de ficar um dia inteiro em casa {br} Mds, que tédio"
"Simmmm {br} É bom também {br} Mas nao gosto de ficar um dia inteiro em casa {br} Mds, que tédio","A claroo {br} Não tem como"
"Oiee","Oii"
"Olá {br} Tudo certo?","Olá {br} Simm {br} E aí?"
"Olá {br} Simm {br} E aí?","Tudo bemm {br} Tirando o calor 😅"
"Tudo bemm {br} Tirando o calor 😅","Sim poxa, sem condições hauh {br} De onde tu é?"
